Date,NE.CON.TOTL.KD.ZG
1980,8.473115380705494
1981,4.332288873427871
1982,2.0052834808940645
1983,7.349639308786337
1984,3.4375955010058874
1985,4.979951090982041
1986,3.988778087397279
1987,4.096223937572759
1988,6.130801201274295
1989,5.017708845078175
1990,4.310881437175922
1991,1.8221871543998844
1992,2.7021183935468542
1993,4.5730807334824135
1994,4.358824110489465
1995,6.328311985432094
1996,7.3286289324314
1997,4.1338281087953845
1998,7.34317677368945
1999,6.960239337673201
2000,3.106123872164133
2001,5.381020070372372
2002,2.39895532710392
2003,5.451597848461276
2004,4.995893000494746
2005,7.654071002016309
2006,4.80628860085335
2007,7.593801129054583
2008,5.476343235575527
2009,6.438437424534584
2010,6.468899571865421
2011,7.274141790914214
2012,4.669838590720559
2013,6.237254640617266
2014,6.572483107124356
2015,7.85745272369698
2016,7.820010186437614
2017,7.081569862657602
2018,7.029139287282817
2019,4.980240090959967
2020,-4.597855880285934
2021,9.821187416665992
2022,7.094733375376848
